cube_table,drift_kind,school_name,subject_id,item_id,item_name,subject,grade,cube_students,replay_students,cube_score,replay_score,cube_grade_avg,replay_grade_avg,id_hash_mismatch
cube_grade_summary,VALUE_DRIFT,Central Florida Preparatory School,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3,,,,,0.700000,0.672973,f
cube_grade_summary,MISSING_FROM_CUBE,Central Florida Preparatory School,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3,,,,,,0.641176,f
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3,,,,,0.641176,,t
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,Unit 8 Test: Forces and Motion,Science,Grade 2,,,,,0.810458,,t
cube_grade_summary,VALUE_DRIFT,Central Florida Preparatory School,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,Unit 8 Test: Forces and Motion,Science,Grade 2,,,,,0.850000,0.835697,f
cube_grade_summary,MISSING_FROM_CUBE,Central Florida Preparatory School,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,7891742813,Unit 8 Test: Forces and Motion,Science,Grade 2,,,,,,0.810458,f
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,7891742813,Unit 8 Test: Forces and Motion,Science,Grade 2,,,,,0.810458,,t
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.739242,,t
cube_grade_summary,VALUE_DRIFT,Central Florida Preparatory School,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.752436,0.748253,f
cube_grade_summary,MISSING_FROM_CUBE,Central Florida Preparatory School,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,7806926683,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2,,,,,,0.739242,f
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,7806926683,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2,,,,,0.739242,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,Chapter 18,Math,Grade K,19,,334.0000,,0.925208,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,Chapter 18,Math,Grade K,40,59,670.0000,1004.0000,0.881579,0.895629,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,Chapter 18,Math,Grade K,,19,,334.0000,,0.925208,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,Chapter 18,Math,Grade K,19,,334.0000,,0.925208,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,M4W2  Vocabulary Quiz,ELA,Grade 3,19,,1638.0000,,0.821053,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,M4W2  Vocabulary Quiz,ELA,Grade 3,38,57,3741.0000,5379.0000,0.937594,0.898747,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,M4W2  Vocabulary Quiz,ELA,Grade 3,,19,,1638.0000,,0.821053,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,M4W2  Vocabulary Quiz,ELA,Grade 3,19,,1638.0000,,0.821053,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,12/5 Reading Classwork,ELA,Grade 4,19,,62.5000,,0.822368,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,12/5 Reading Classwork,ELA,Grade 4,21,40,73.0000,135.5000,0.869048,0.846875,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,12/5 Reading Classwork,ELA,Grade 4,,19,,62.5000,,0.822368,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,12/5 Reading Classwork,ELA,Grade 4,19,,62.5000,,0.822368,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,Chapter 18,Math,Grade 5,20,,516.0000,,0.834951,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,Chapter 18,Math,Grade 5,20,40,552.0000,1068.0000,0.893204,0.864078,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,Chapter 18,Math,Grade 5,,20,,516.0000,,0.834951,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,Chapter 18,Math,Grade 5,20,,516.0000,,0.834951,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,Classwork End of Year Test,Math,Grade 1,17,,324.0000,,0.682105,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,Classwork End of Year Test,Math,Grade 1,21,38,369.0000,693.0000,0.631849,0.654391,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,Classwork End of Year Test,Math,Grade 1,,17,,324.0000,,0.682105,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,Classwork End of Year Test,Math,Grade 1,17,,324.0000,,0.682105,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,Adding and Subtracting Money - 12/16/24,Math,Grade 3,17,,116.0000,,0.852941,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,Adding and Subtracting Money - 12/16/24,Math,Grade 3,37,54,242.0000,358.0000,0.809365,0.822989,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,Adding and Subtracting Money - 12/16/24,Math,Grade 3,,17,,116.0000,,0.852941,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,Adding and Subtracting Money - 12/16/24,Math,Grade 3,17,,116.0000,,0.852941,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,Chapter 2,Math,Grade 1,20,,639.3334,,0.731503,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,Chapter 2,Math,Grade 1,42,62,1610.9996,2250.3330,0.874593,0.828547,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,Chapter 2,Math,Grade 1,,20,,639.3334,,0.731503,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,Chapter 2,Math,Grade 1,20,,639.3334,,0.731503,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,12/9 Reading Classwork,ELA,Grade 4,18,,75.0000,,0.833333,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,12/9 Reading Classwork,ELA,Grade 4,1,19,4.0000,79.0000,0.800000,0.831579,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,12/9 Reading Classwork,ELA,Grade 4,,18,,75.0000,,0.833333,f
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,12/9 Reading Classwork,ELA,Grade 4,18,,75.0000,,0.833333,,t
cube_school_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,M4W2 Vocabulary Quiz,ELA,Grade 5,18,,1395.0000,,0.956790,,t
cube_school_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,M4W2 Vocabulary Quiz,ELA,Grade 5,20,38,1602.0000,2997.0000,0.988889,0.973684,f
cube_school_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,M4W2 Vocabulary Quiz,ELA,Grade 5,,18,,1395.0000,,0.956790,f
