cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_students,fact_students,cube_questions,fact_questions,cube_possible,fact_possible,cube_score,fact_score,school_name,item_name,subject,grade
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,t,18,,20,,658.0000,,592.0000,,Athenian Academy of Technology and the Arts,Chapter 16,Math,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687678128,t,20,,20,,719.0000,,639.5000,,Athenian Academy of Technology and the Arts,Chapter 16,Math,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,t,21,,5,,147.0000,,79.0008,,Athenian Academy of Technology and the Arts,,Math,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,t,21,,5,,147.0000,,79.0008,,Athenian Academy of Technology and the Arts,12/05 8.4 Homework,Math,Grade 4
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,f,40,59,38,57,760.0000,1121.0000,670.0000,1004.0000,Athenian Academy of Technology and the Arts,,Math,Grade K
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,f,38,57,12,18,3990.0000,5985.0000,3741.0000,5379.0000,Athenian Academy of Technology and the Arts,,ELA,Grade 3
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,f,21,40,3,6,84.0000,160.0000,73.0000,135.5000,Athenian Academy of Technology and the Arts,,ELA,Grade 4
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,f,20,40,20,40,618.0000,1236.0000,552.0000,1068.0000,Athenian Academy of Technology and the Arts,,Math,Grade 5
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,f,21,38,12,24,584.0000,1059.0000,369.0000,693.0000,Athenian Academy of Technology and the Arts,,Math,Grade 1
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,f,37,54,16,24,299.0000,435.0000,242.0000,358.0000,Athenian Academy of Technology and the Arts,,Math,Grade 3
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,f,42,62,42,63,1842.0000,2716.0000,1610.9996,2250.3330,Athenian Academy of Technology and the Arts,,Math,Grade 1
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,f,1,19,5,10,5.0000,95.0000,4.0000,79.0000,Athenian Academy of Technology and the Arts,,ELA,Grade 4
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,f,20,38,1,2,1620.0000,3078.0000,1602.0000,2997.0000,Athenian Academy of Technology and the Arts,,ELA,Grade 5
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,f,36,52,26,39,503.0000,726.0000,370.0000,528.0000,Athenian Academy of Technology and the Arts,,ELA,Grade 2
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,f,36,56,4,6,4608.0000,7168.0000,4208.0000,6416.0000,Athenian Academy of Technology and the Arts,,ELA,Grade 2
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,f,18,37,7,14,126.0000,259.0000,98.0000,184.0000,Athenian Academy of Technology and the Arts,,Math,Grade 4
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,f,15,53,20,60,544.0000,1921.0000,487.0000,1718.5000,Athenian Academy of Technology and the Arts,,Math,Grade 2
cube_school_summary,VALUE_DRIFT,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,f,20,41,5,10,140.0000,287.0000,73.0106,152.0114,Athenian Academy of Technology and the Arts,,Math,Grade 4
cube_school_summary,MISSING_FROM_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7891846801,f,,19,,20,,418.0000,,341.0000,Central Florida Preparatory School,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5
