finding,school,key1,key2,detail1,detail2,detail3
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.8.SC.8.N.3.1,"",n_ukeys=16,n_missing_cqso=3,avg_shipped=0.6504 avg_correct=0.8005
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.8.SC.8.P.8.3,"",n_ukeys=7,n_missing_cqso=1,avg_shipped=0.6259 avg_correct=0.7302
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.8.SC.8.P.8.5,"",n_ukeys=7,n_missing_cqso=2,avg_shipped=0.5619 avg_correct=0.7867
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.8.SC.8.P.8.9,"",n_ukeys=3,n_missing_cqso=1,avg_shipped=0.6426 avg_correct=0.9639
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.9-12.SC.912.N.1.1.5,"",n_ukeys=9,n_missing_cqso=2,avg_shipped=0.6352 avg_correct=0.8167
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.9-12.SC.912.N.1.2,"",n_ukeys=31,n_missing_cqso=4,avg_shipped=0.6316 avg_correct=0.7251
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.6.SS.6.W.4.11,"",n_ukeys=6,n_missing_cqso=1,avg_shipped=0.5622 avg_correct=0.6747
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.8.SS.8.A.1.2,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.4615 avg_correct=0.9231
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.8.SS.8.A.3.10,"",n_ukeys=15,n_missing_cqso=1,avg_shipped=0.7885 avg_correct=0.8448
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.A.5.11,"",n_ukeys=25,n_missing_cqso=5,avg_shipped=0.6424 avg_correct=0.8029
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.A.6.11,"",n_ukeys=40,n_missing_cqso=1,avg_shipped=0.8055 avg_correct=0.8262
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.A.7.5,"",n_ukeys=7,n_missing_cqso=2,avg_shipped=0.5042 avg_correct=0.7059
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.A.7.7,"",n_ukeys=6,n_missing_cqso=2,avg_shipped=0.5000 avg_correct=0.7500
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.W.4.9,"",n_ukeys=4,n_missing_cqso=1,avg_shipped=0.6538 avg_correct=0.8718
F2_std_summary_zero_poison,Central Florida Preparatory School,SOC.9-12.SS.912.W.5.5,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.5000 avg_correct=1.0000
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.6.G.4.2,"",n_ukeys=1,n_missing_cqso=1,
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.A.4.5,"",n_ukeys=10,n_missing_cqso=2,avg_shipped=0.7039 avg_correct=0.8799
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.A.5.2,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.4265 avg_correct=0.8529
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.A.7.6,"",n_ukeys=6,n_missing_cqso=1,avg_shipped=0.6961 avg_correct=0.8353
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.W.5.4,"",n_ukeys=3,n_missing_cqso=1,avg_shipped=0.6667 avg_correct=1.0000
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.W.5.6,"",n_ukeys=12,n_missing_cqso=1,avg_shipped=0.8333 avg_correct=0.9091
F2_std_summary_zero_poison,Central Florida Preparatory School,SS.912.W.6.4,"",n_ukeys=17,n_missing_cqso=2,avg_shipped=0.7430 avg_correct=0.8421
F2_std_summary_zero_poison,Crestwell School,ELA.3.C.3.1,"",n_ukeys=130,n_missing_cqso=1,avg_shipped=0.7886 avg_correct=0.7947
F2_std_summary_zero_poison,Crestwell School,ELA.3.R.1.1,"",n_ukeys=33,n_missing_cqso=2,avg_shipped=0.7289 avg_correct=0.7759
F2_std_summary_zero_poison,Crestwell School,ELA.3.R.2.1,"",n_ukeys=51,n_missing_cqso=3,avg_shipped=0.6574 avg_correct=0.6985
F2_std_summary_zero_poison,Crestwell School,ELA.3.V.1.3,"",n_ukeys=51,n_missing_cqso=1,avg_shipped=0.8220 avg_correct=0.8385
F2_std_summary_zero_poison,Crestwell School,ELA.4.C.3.1,"",n_ukeys=142,n_missing_cqso=16,avg_shipped=0.6764 avg_correct=0.7623
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.1.1,"",n_ukeys=32,n_missing_cqso=8,avg_shipped=0.5445 avg_correct=0.7261
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.1.2,"",n_ukeys=17,n_missing_cqso=1,avg_shipped=0.7030 avg_correct=0.7469
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.1.3,"",n_ukeys=13,n_missing_cqso=4,avg_shipped=0.5780 avg_correct=0.8348
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.1.4,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.6562 avg_correct=0.8202
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.2.1,"",n_ukeys=58,n_missing_cqso=6,avg_shipped=0.6892 avg_correct=0.7687
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.2.4,"",n_ukeys=20,n_missing_cqso=2,avg_shipped=0.7182 avg_correct=0.7980
F2_std_summary_zero_poison,Crestwell School,ELA.4.R.3.1,"",n_ukeys=45,n_missing_cqso=3,avg_shipped=0.7249 avg_correct=0.7767
F2_std_summary_zero_poison,Crestwell School,ELA.4.V.1.1,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.5000 avg_correct=1.0000
F2_std_summary_zero_poison,Crestwell School,ELA.4.V.1.2,"",n_ukeys=43,n_missing_cqso=4,avg_shipped=0.7071 avg_correct=0.7797
F2_std_summary_zero_poison,Crestwell School,ELA.4.V.1.3,"",n_ukeys=58,n_missing_cqso=6,avg_shipped=0.6949 avg_correct=0.7751
F2_std_summary_zero_poison,Crestwell School,ELA.5.C.3.1,"",n_ukeys=73,n_missing_cqso=6,avg_shipped=0.7052 avg_correct=0.7683
F2_std_summary_zero_poison,Crestwell School,ELA.5.R.1.1,"",n_ukeys=12,n_missing_cqso=1,avg_shipped=0.6198 avg_correct=0.6761
F2_std_summary_zero_poison,Crestwell School,ELA.5.R.1.3,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.5715 avg_correct=0.7144
F2_std_summary_zero_poison,Crestwell School,ELA.5.R.2.1,"",n_ukeys=32,n_missing_cqso=2,avg_shipped=0.6155 avg_correct=0.6565
