school,schoology_standard,num_ukeys,missing_ukeys,shipped_pct,correct_pct,understated_pp
Central Florida Preparatory School,SC.7.L.17.1,11,3,63.09,86.75,23.66
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.A-SSE.2.3.a,10,3,55.18,78.83,23.65
Central Florida Preparatory School,MA.6.AR.3.4,17,6,43.34,66.98,23.64
Athenian Academy of Technology and the Arts,MA.K.NSO.2.2,54,15,61.25,84.80,23.55
Crestwell School,MA.4.GR.2.1,12,4,47.09,70.63,23.54
Central Florida Preparatory School,MA.5.FR.2.2,14,5,42.18,65.62,23.44
Crestwell School,MA.5.NSO.2,14,4,58.47,81.86,23.39
Central Florida Preparatory School,MA.1.AR.2.3,11,3,62.25,85.60,23.35
Athenian Academy of Technology and the Arts,MA.2.M.2.1,53,15,59.09,82.42,23.33
Central Florida Preparatory School,MA.5.AR.1.2,27,9,46.56,69.85,23.29
Central Florida Preparatory School,MA.4.AR.1.3,15,5,46.50,69.75,23.25
Athenian Academy of Technology and the Arts,MA.4.AR.1.2,25,8,49.37,72.61,23.24
Central Florida Preparatory School,MA.4.NSO.1.4,13,5,37.11,60.31,23.20
Crestwell School,MA.5.GR.3,12,4,46.37,69.55,23.18
Athenian Academy of Technology and the Arts,MAFS.7.RP.1.3,47,16,44.86,68.02,23.16
Central Florida Preparatory School,MA.5.AR.1.3,7,2,57.36,80.30,22.94
Athenian Academy of Technology and the Arts,MA.6.AR.2.2,25,8,48.71,71.64,22.93
