school_name,item_id,item_name,list_shows_subject,true_subject,subject_mismatch,list_shows_grade,true_grade,grade_mismatch,list_denominator,true_question_count,questions_hidden_from_denominator
Central Florida Preparatory School,8154778691,Unit 2 Part 1,ELA,HS English II,t,Regular 9–12,Regular 9–12,f,28,28,0
Central Florida Preparatory School,8157335558,Topic 3,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,15,15,0
Central Florida Preparatory School,8161436131,Mid-Year Test,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,45,45,0
Central Florida Preparatory School,8162249855,Mid-Year Test,ELA,HS Honors English II,t,Higher-Ed,Higher-Ed,f,45,45,0
Central Florida Preparatory School,8162251651,Mid year test,ELA,HS Honors English III,t,Higher-Ed,Higher-Ed,f,44,44,0
Central Florida Preparatory School,8162253672,Mid-Year Test,ELA,HS Honors English IV,t,Higher-Ed,Higher-Ed,f,45,45,0
Central Florida Preparatory School,8195374562,Unit 2 Pat 1,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,24,24,0
Central Florida Preparatory School,8195374577,Unit 2 Part 2,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8195472161,Unit 2 Part 1,ELA,HS Honors English III,t,Higher-Ed,Higher-Ed,f,24,24,0
Central Florida Preparatory School,8195472186,Unit 2 Part 2,ELA,HS Honors English III,t,Higher-Ed,Higher-Ed,f,5,5,0
Central Florida Preparatory School,8199772451,Unit 2 Pat 1,ELA,HS Honors English IV,t,Higher-Ed,Higher-Ed,f,24,24,0
Central Florida Preparatory School,8199772510,Unit 2 Part 2,ELA,HS Honors English IV,t,Higher-Ed,Higher-Ed,f,5,5,0
Central Florida Preparatory School,8203499258,Investigation Assessment 2: Forces,Science,HS Physics,t,Higher-Ed,Higher-Ed,f,15,15,0
Central Florida Preparatory School,8216300987,Topic 3,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,14,14,0
Central Florida Preparatory School,8216302399,Topic 3 Assessment A,Math,HS Honors Algebra I,t,Higher-Ed,Higher-Ed,f,14,14,0
Central Florida Preparatory School,8228272353,Topic 5: The Renaissance and Reformation (1300?1650),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,8245486014,Topic 4,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,15,15,0
Central Florida Preparatory School,8249955742,Investigation Assessments 3: Gravitational Forces,Science,HS Physics,t,Higher-Ed,Higher-Ed,f,15,15,0
Central Florida Preparatory School,8249969314,Topic 4,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,15,15,0
