check_name,school_id,subject_id,item_id,drift_type,cube_students,fact_students,cube_questions,fact_questions,cube_standards,fact_standards,cube_score,fact_score,cube_possible,fact_possible,cube_avg,fact_avg
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,,STALE_CUBE_ROW,18,,5,,0,,75.0000,,90.0000,,0.833333,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,STALE_CUBE_ROW,17,,10,,8,,248.0000,,306.0000,,0.810458,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,,STALE_CUBE_ROW,17,,8,,0,,116.0000,,136.0000,,0.852941,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,STALE_CUBE_ROW,19,,7,,0,,86.0000,,133.0000,,0.646617,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,STALE_CUBE_ROW,18,,1,,0,,1395.0000,,1458.0000,,0.956790,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,STALE_CUBE_ROW,13,,13,,5,,140.0000,,191.0000,,0.732984,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,STALE_CUBE_ROW,19,,19,,3,,334.0000,,361.0000,,0.925208,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,STALE_CUBE_ROW,16,,13,,6,,158.0000,,223.0000,,0.708520,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,STALE_CUBE_ROW,19,,7,,0,,86.0000,,133.0000,,0.646617,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,STALE_CUBE_ROW,17,,20,,2,,218.0000,,340.0000,,0.641176,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,,STALE_CUBE_ROW,19,,6,,0,,1638.0000,,1995.0000,,0.821053,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,7613842590,STALE_CUBE_ROW,19,,3,,0,,62.5000,,76.0000,,0.822368,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,8346484076,STALE_CUBE_ROW,17,,12,,0,,324.0000,,475.0000,,0.682105,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,7702555934,STALE_CUBE_ROW,20,,20,,3,,516.0000,,618.0000,,0.834951,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,STALE_CUBE_ROW,21,,5,,0,,79.0008,,147.0000,,0.537420,
