class,school_name,entity_id,entity_name,fact_label,dim_label,students,fact_rows
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",ELA / Grade 1 / 2024-25 / Assessments,ELA / Grade 1 / 2024-25 / Lesson  Assessments,19,342
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7337889366,Project Earth: Weekly Assessment: Week 1,ELA / Grade 5 / 2024-25 / Lesson  Assessments,ELA / Grade 5 / 2024-25 / Assessments,18,324
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334740354,Teamwork: Weekly Assessment: Week 1,ELA / Grade 3 / 2024-25 / Lesson  Assessments,ELA / Grade 3 / 2024-25 / Assessments,20,300
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7338394737,Unit 9 Benchmark Test: The Human Body,Science / Grade 2 / 2024-25 / Lesson  Assessments,Science / Grade 2 / 2024-25 / Assessments,20,280
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334677961,Module Assessment: Once Upon a Time,ELA / Grade 2 / 2024-25 / Lesson  Assessments,ELA / Grade 2 / 2024-25 / Assessments,16,256
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Science / Grade 1 / 2024-25 / Lesson  Assessments,Science / Grade 1 / 2024-25 / Assessments,19,209
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science / Grade 1 / 2024-25 / Lesson  Assessments,Science / Grade 1 / 2024-25 / Unit-Chap  Assessments,16,208
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7789275406,M7W2 vocab quiz,ELA / Grade 5 / 2024-25 / Lesson  Assessments,ELA / Grade 5 / 2024-25 / Assessments,18,198
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science / Grade 1 / 2024-25 / Lesson  Assessments,Science / Grade 1 / 2024-25 / Unit-Chap  Assessments,17,170
fact_vs_dim_item_subject_drift,Central Florida Preparatory School,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,ELA / Grade 4 / 2025-26 / Summative,ELA / Grade 4 / 2025-26 / Summative,17,153
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7687967795,M5W1 Vocab quiz,ELA / Grade 5 / 2024-25 / Lesson  Assessments,ELA / Grade 5 / 2024-25 / Assessments,19,152
fact_vs_dim_item_subject_drift,Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading / Grade 4 / 2025-26 / Summative,Reading / Grade 4 / 2025-26 / Weekly Test,15,140
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7789244025,Quarter 4 Quiz 2,History / Grade 7 / 2024-25 / Lesson  Assessments,History / Grade 7 / 2024-25 / Assessments,27,135
fact_vs_dim_item_subject_drift,Central Florida Preparatory School,8330846316,M6W1 Weekly Assessment: Marvels of Nature:,ELA / Grade 4 / 2025-26 / Summative,ELA / Grade 4 / 2025-26 / Summative,12,119
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7676516420,Quarter 3 Quiz #1,Civics / Grade 8 / 2024-25 / Assessments,Civics / Grade 8 / 2024-25 / Lesson  Assessments,15,75
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7797146594,Inspired by Nature Unit Test,ELA / Grade 7 / 2024-25 / Lesson  Assessments,ELA / Grade 7 / 2024-25 / Lesson Assessments,1,52
fact_vs_dim_item_subject_drift,Central Florida Preparatory School,8362776921,Topic 8,HS Algebra I / Higher-Ed / 2025-26 / topic,HS Algebra I / Regular 9–12 / 2025-26 / topic,1,33
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7661452061,Chapter 14,Math / Grade 1 / 2024-25 / Lesson  Assessments,Math / Grade 1 / 2024-25 / Assessments,1,19
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,8112622324,Chapter 16 Part 1,Math / Grade K / 2025-26 / Lesson  Assessments,Math / Grade K / 2025-26 / Lesson  Assessments,1,16
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7687741861,Chapter 12,Math / Grade K / 2024-25 / Assessments,Math / Grade K / 2024-25 / Lesson  Assessments,2,9
fact_vs_dim_item_subject_drift,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,Math / Grade 1 / 2024-25 / Chap Test,Math / Grade 1 / 2025-26 / Summative,1,9
